Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Spain,Spain,ES,79.49,110.37,84.15,50.75,entsoe.eu,false,
2023-01-01 01:00:00,Spain,Spain,ES,82.59,113.77,83.73,49.24,entsoe.eu,false,
2023-01-01 02:00:00,Spain,Spain,ES,83.2,114.28,83.75,47.23,entsoe.eu,false,
2023-01-01 03:00:00,Spain,Spain,ES,83.55,114.91,83.75,45.71,entsoe.eu,false,
2023-01-01 04:00:00,Spain,Spain,ES,84.06,115.32,83.73,44.1,entsoe.eu,false,
2023-01-01 05:00:00,Spain,Spain,ES,83.78,114.7,83.88,43.7,entsoe.eu,false,
2023-01-01 06:00:00,Spain,Spain,ES,82.86,113.37,84.08,44.96,entsoe.eu,false,
2023-01-01 07:00:00,Spain,Spain,ES,85.32,116.47,83.54,44.09,entsoe.eu,false,
2023-01-01 08:00:00,Spain,Spain,ES,85.7,116.96,83.49,45.25,entsoe.eu,false,
2023-01-01 09:00:00,Spain,Spain,ES,78.59,108.97,84.98,51.73,entsoe.eu,false,
2023-01-01 10:00:00,Spain,Spain,ES,79.12,110.47,84.96,57.25,entsoe.eu,false,
2023-01-01 11:00:00,Spain,Spain,ES,73.63,104.46,85.98,59.96,entsoe.eu,false,
2023-01-01 12:00:00,Spain,Spain,ES,69.35,99.49,87.02,61.83,entsoe.eu,false,
2023-01-01 13:00:00,Spain,Spain,ES,72.43,103.08,86.51,61.65,entsoe.eu,false,
2023-01-01 14:00:00,Spain,Spain,ES,73.6,104.3,86.21,60.65,entsoe.eu,false,
2023-01-01 15:00:00,Spain,Spain,ES,80.8,112.69,84.51,58.08,entsoe.eu,false,
2023-01-01 16:00:00,Spain,Spain,ES,82.37,113.83,83.81,56.58,entsoe.eu,false,
2023-01-01 17:00:00,Spain,Spain,ES,66.76,93.21,87.67,62.22,entsoe.eu,false,
2023-01-01 18:00:00,Spain,Spain,ES,61.2,85.13,89.47,65.41,entsoe.eu,false,
2023-01-01 19:00:00,Spain,Spain,ES,61.43,84.43,89.76,66.45,entsoe.eu,false,
2023-01-01 20:00:00,Spain,Spain,ES,62.59,84.9,89.8,66.91,entsoe.eu,false,
2023-01-01 21:00:00,Spain,Spain,ES,59.88,83.32,89.67,66.06,entsoe.eu,false,
2023-01-01 22:00:00,Spain,Spain,ES,61.39,86.56,88.85,64.07,entsoe.eu,false,
2023-01-01 23:00:00,Spain,Spain,ES,71.19,99.5,86.16,60.67,entsoe.eu,false,
2023-01-02 00:00:00,Spain,Spain,ES,80.23,110.78,83.84,58.65,entsoe.eu,false,
2023-01-02 01:00:00,Spain,Spain,ES,84.4,115.99,82.9,56.73,entsoe.eu,false,
2023-01-02 02:00:00,Spain,Spain,ES,87.31,119.26,82.56,54.83,entsoe.eu,false,
2023-01-02 03:00:00,Spain,Spain,ES,91.87,125.19,81.54,53.36,entsoe.eu,false,
2023-01-02 04:00:00,Spain,Spain,ES,100.44,136.46,79.52,51.26,entsoe.eu,false,
2023-01-02 05:00:00,Spain,Spain,ES,108.4,146.64,77.61,49.57,entsoe.eu,false,
2023-01-02 06:00:00,Spain,Spain,ES,126.44,169.77,72.95,45.52,entsoe.eu,false,
2023-01-02 07:00:00,Spain,Spain,ES,136.83,180.85,71.18,45.76,entsoe.eu,false,
2023-01-02 08:00:00,Spain,Spain,ES,142.74,187.93,70.13,45.62,entsoe.eu,false,
2023-01-02 09:00:00,Spain,Spain,ES,141.99,186.68,70.7,47.42,entsoe.eu,false,
2023-01-02 10:00:00,Spain,Spain,ES,142.09,186.36,71.1,48.11,entsoe.eu,false,
2023-01-02 11:00:00,Spain,Spain,ES,138.91,182.98,71.79,48.79,entsoe.eu,false,
2023-01-02 12:00:00,Spain,Spain,ES,133.58,177.09,72.85,49.99,entsoe.eu,false,
2023-01-02 13:00:00,Spain,Spain,ES,132.95,175.84,73.17,50.44,entsoe.eu,false,
2023-01-02 14:00:00,Spain,Spain,ES,138.43,180.84,72.44,49.29,entsoe.eu,false,
2023-01-02 15:00:00,Spain,Spain,ES,143.03,185.63,71.58,48.09,entsoe.eu,false,
2023-01-02 16:00:00,Spain,Spain,ES,156.32,201.0,68.77,44.42,entsoe.eu,false,
2023-01-02 17:00:00,Spain,Spain,ES,161.5,206.85,67.58,43.06,entsoe.eu,false,
2023-01-02 18:00:00,Spain,Spain,ES,154.76,199.53,68.6,43.02,entsoe.eu,false,
2023-01-02 19:00:00,Spain,Spain,ES,147.02,190.16,70.28,42.86,entsoe.eu,false,
2023-01-02 20:00:00,Spain,Spain,ES,142.0,183.61,71.45,44.0,entsoe.eu,false,
2023-01-02 21:00:00,Spain,Spain,ES,144.6,186.42,71.27,45.7,entsoe.eu,false,
2023-01-02 22:00:00,Spain,Spain,ES,142.48,184.11,71.77,44.89,entsoe.eu,false,
2023-01-02 23:00:00,Spain,Spain,ES,129.78,173.33,72.79,40.92,entsoe.eu,false,
2023-01-03 00:00:00,Spain,Spain,ES,121.6,163.55,74.65,39.93,entsoe.eu,false,
2023-01-03 01:00:00,Spain,Spain,ES,125.63,168.51,73.85,41.44,entsoe.eu,false,
2023-01-03 02:00:00,Spain,Spain,ES,128.93,172.43,73.23,41.43,entsoe.eu,false,
2023-01-03 03:00:00,Spain,Spain,ES,129.7,173.37,73.12,41.63,entsoe.eu,false,
2023-01-03 04:00:00,Spain,Spain,ES,131.03,175.77,72.33,41.99,entsoe.eu,false,
2023-01-03 05:00:00,Spain,Spain,ES,129.23,173.07,72.96,44.42,entsoe.eu,false,
2023-01-03 06:00:00,Spain,Spain,ES,138.86,182.91,71.51,45.68,entsoe.eu,false,
2023-01-03 07:00:00,Spain,Spain,ES,146.56,190.7,70.33,46.54,entsoe.eu,false,
2023-01-03 08:00:00,Spain,Spain,ES,150.29,193.58,70.3,47.94,entsoe.eu,false,
2023-01-03 09:00:00,Spain,Spain,ES,142.45,187.12,71.31,49.29,entsoe.eu,false,
2023-01-03 10:00:00,Spain,Spain,ES,129.58,173.71,73.66,51.44,entsoe.eu,false,
2023-01-03 11:00:00,Spain,Spain,ES,121.85,165.27,75.09,52.7,entsoe.eu,false,
2023-01-03 12:00:00,Spain,Spain,ES,117.27,159.38,76.34,53.86,entsoe.eu,false,
2023-01-03 13:00:00,Spain,Spain,ES,115.71,158.56,76.28,53.57,entsoe.eu,false,
2023-01-03 14:00:00,Spain,Spain,ES,112.7,155.33,76.93,53.97,entsoe.eu,false,
2023-01-03 15:00:00,Spain,Spain,ES,124.18,169.42,74.09,50.92,entsoe.eu,false,
2023-01-03 16:00:00,Spain,Spain,ES,151.39,200.31,68.18,44.83,entsoe.eu,false,
2023-01-03 17:00:00,Spain,Spain,ES,164.16,211.36,66.46,44.15,entsoe.eu,false,
2023-01-03 18:00:00,Spain,Spain,ES,165.27,212.13,66.17,44.56,entsoe.eu,false,
2023-01-03 19:00:00,Spain,Spain,ES,165.59,213.04,65.88,43.84,entsoe.eu,false,
2023-01-03 20:00:00,Spain,Spain,ES,165.15,213.02,65.63,43.13,entsoe.eu,false,
2023-01-03 21:00:00,Spain,Spain,ES,152.37,198.13,68.35,41.76,entsoe.eu,false,
2023-01-03 22:00:00,Spain,Spain,ES,134.79,178.34,71.88,40.27,entsoe.eu,false,
2023-01-03 23:00:00,Spain,Spain,ES,122.74,164.24,74.83,39.67,entsoe.eu,false,
2023-01-04 00:00:00,Spain,Spain,ES,109.69,148.05,78.06,41.16,entsoe.eu,false,
2023-01-04 01:00:00,Spain,Spain,ES,105.63,143.25,78.86,41.22,entsoe.eu,false,
2023-01-04 02:00:00,Spain,Spain,ES,104.67,141.93,79.14,41.22,entsoe.eu,false,
2023-01-04 03:00:00,Spain,Spain,ES,105.49,142.91,79.06,41.2,entsoe.eu,false,
2023-01-04 04:00:00,Spain,Spain,ES,104.75,141.73,79.27,42.31,entsoe.eu,false,
2023-01-04 05:00:00,Spain,Spain,ES,107.12,144.3,78.79,43.23,entsoe.eu,false,
