,solar_gen_kwh,day_of_week,hour,working_day,h_from_max,days_from_solstice,wind_u_10m,wind_v_10m,relative_humidity_2m,specific_humidity_2m,air_temp_2m_K,sunshine_duration_s,apparent_temp_2m_K,longwave_radiation_wm2,shortwave_radiation_wm2,wind_gusts_surface_ms,mean_sea_level_pressure_pa,pressure_80m_pa,precipitable_water_kgm2,specific_humidity_80m,surface_pressure_pa,total_cloud_cover_pct,air_temp_80m_K,max_air_temp_2m_K,min_air_temp_2m_K,ozone_total_DU,accumulated_precip_mm,surface_temp_K,wind_u_80m,wind_v_80m
2023-07-24 13:00:00+02:00,129.98000000001048,0,13,1,1,33,5.552216796875,2.449462890625,17.1,0.0045461707131958,301.9428588867188,18000.0,300.4190307617188,320.40769042968753,570.11,7.1751708984375,100961.45,93264.06875,12.145646313476565,0.0044028557678222,94113.453125,2.175,299.228662109375,301.95712890625003,293.60148925781255,324.606396484375,0.0,314.95001220703125,6.4391015625,2.63345703125
2023-07-24 14:00:00+02:00,134.34999999997672,0,14,1,0,33,5.856357421875,3.034296875,16.85,0.0048025664833068,303.16557617187505,21600.0,301.3209228515625,323.9826904296875,635.764,8.00578374862671,100873.4875,93212.575,13.325237756347656,0.00466561006958,94057.79375,2.175,300.40000000000003,303.2134521484375,293.60148925781255,325.27836914062505,0.0,316.8,6.8991748046875,3.33306640625
2023-07-24 15:00:00+02:00,133.90000000002328,0,15,1,1,33,6.528642578125,3.1268701171875,16.650000000000002,0.0051114058549499,304.4046142578125,3600.0,302.3531982421875,351.375,980.375,8.903244341164829,100779.525,93149.478125,14.926528588867189,0.004976110256958001,93990.86875,54.2,301.5955810546875,304.3901000976563,303.2,326.1466064453125,0.0,317.62729492187503,7.832304687500001,3.467958984375
2023-07-24 16:00:00+02:00,126.92999999999302,0,16,1,2,33,7.584704589843749,2.0431225585937502,17.275,0.0055304313592529,305.1315063476563,7200.0,302.99403076171876,355.97373046875003,956.7950000000001,9.585358428955079,100710.5125,93098.728125,17.325234936523437,0.0053871361047363,93937.159375,18.35,302.36904296875,305.16468505859376,303.2,327.115966796875,0.0,316.91594238281255,9.052160644531252,2.2117034912109377
2023-07-24 17:00:00+02:00,121.22000000000116,0,17,1,3,33,7.51954833984375,2.37337890625,17.225,0.0056342730239868,305.551171875,10800.0,303.40960693359375,359.475,916.1800000000001,9.929451322555543,100643.1,93043.596875,18.52958280029297,0.0054901849182128,93880.075,46.025,303.057275390625,305.5955810546875,303.2,330.2809326171875,0.0,315.6102661132813,8.981921386718751,2.7361328125
2023-07-24 18:00:00+02:00,91.33999999999652,0,18,1,4,33,8.4297900390625,2.61917236328125,18.15,0.0059417497987365,305.55712890625,14400.0,303.43828125,363.64580078125,852.2,9.962327575683595,100590.8125,92995.2375,19.38656540527344,0.005811633182983325,93829.321875,90.65,303.338232421875,305.7205810546875,303.20712890625,332.806591796875,0.0,312.712548828125,10.302398681640625,3.021759033203125
2023-07-24 19:00:00+02:00,58.929999999993015,0,19,1,5,33,8.842167968750001,1.9162768554687502,19.8,0.0062301775537109,304.81939697265625,18000.0,302.81890869140625,366.65,776.152,9.743560791015625,100586.11875,92982.24375,19.55074323120117,0.0061205936541748,93817.45625,8.675,303.088232421875,305.7205810546875,303.2193969726563,336.4183349609375,0.0,309.06364746093755,10.962652587890625,2.0572143554687496
2023-07-24 20:00:00+02:00,26.85000000000582,0,20,1,6,33,8.8819384765625,0.19257568359375,20.425,0.006114056314392,304.00609130859374,21600.0,302.12089843750005,366.39990234375,701.384,9.521839830279351,100645.4,93020.440625,20.71583834228516,0.0060097209313964,93857.775,47.625,302.65947265625005,305.7205810546875,303.2060913085938,337.4044189453125,0.0,305.9296142578125,11.285186767578125,-0.32219238281249996
2023-07-24 21:00:00+02:00,7.5,0,21,1,7,33,6.420986328125,-1.9796948242187504,20.925,0.0058238067918396,302.7266845703125,3600.0,301.09025878906255,387.63099365234376,98.45,9.500393490679562,100751.45625,93085.309375,20.45331965942383,0.00572865396423335,93925.19375,53.225,302.0711669921875,303.9136840820313,302.7367309570312,336.66447753906255,0.0,302.507958984375,8.44117431640625,-2.909292602539063
2023-07-24 22:00:00+02:00,1.2999999999883585,0,22,1,8,33,5.4769189453125,-1.9818432617187498,21.25,0.0054047570391845,301.1940551757813,5544.8,299.9718017578125,385.4717041015625,53.78,9.175384148210288,100883.375,93154.915625,18.65643755493164,0.0053364448138427,93998.35625,13.875000000000002,301.125,303.8971923828125,301.19403076171875,333.78190917968755,0.0,300.28297119140626,7.881439208984376,-3.152398681640625
